STATE_CODE,STATE_CODE_EXP,SHRP_ID,YEAR,HOUR,PCT_HOURLY
39,Ohio,0111,2005,18,4.579999923706055
39,Ohio,0111,2005,19,3.9700000286102295
39,Ohio,0111,2005,20,3.509999990463257
39,Ohio,0111,2005,21,2.9700000286102295
39,Ohio,0111,2005,22,2.6500000953674316
39,Ohio,0111,2005,23,2.3499999046325684
39,Ohio,0111,2010,8,5.369999885559082
39,Ohio,0111,2010,9,5.610000133514404
39,Ohio,0111,2010,10,5.619999885559082
39,Ohio,0111,2010,11,5.739999771118164
39,Ohio,0111,2010,12,5.909999847412109
39,Ohio,0111,2010,13,6.130000114440918
39,Ohio,0111,2010,14,6.179999828338623
39,Ohio,0111,2010,15,6.170000076293945
39,Ohio,0111,2010,16,5.730000019073486
39,Ohio,0111,2010,17,5.28000020980835
39,Ohio,0111,2010,18,4.510000228881836
39,Ohio,0111,2010,19,3.930000066757202
39,Ohio,0111,2010,20,3.430000066757202
39,Ohio,0111,2010,21,2.9700000286102295
39,Ohio,0111,2010,22,2.6500000953674316
39,Ohio,0111,2010,23,2.4000000953674316
39,Ohio,0111,2005,0,2.1700000762939453
39,Ohio,0111,2005,1,1.8300000429153442
39,Ohio,0111,2005,2,1.809999942779541
39,Ohio,0111,2005,3,1.9500000476837158
39,Ohio,0111,2005,4,2.4100000858306885
39,Ohio,0111,2005,5,3.1600000858306885
39,Ohio,0111,2005,6,3.990000009536743
39,Ohio,0111,2005,7,4.75
39,Ohio,0111,2005,8,5.510000228881836
39,Ohio,0111,2005,9,5.369999885559082
39,Ohio,0111,2005,10,5.800000190734863
39,Ohio,0111,2005,11,6.110000133514404
39,Ohio,0111,2005,12,6.119999885559082
39,Ohio,0111,2005,13,6.21999979019165
39,Ohio,0111,2005,14,6.329999923706055
39,Ohio,0111,2005,15,5.869999885559082
39,Ohio,0111,2009,0,2.4600000381469727
39,Ohio,0111,2009,1,1.9199999570846558
39,Ohio,0111,2009,2,1.7699999809265137
39,Ohio,0111,2009,3,1.9600000381469727
39,Ohio,0111,2009,4,2.8399999141693115
39,Ohio,0111,2009,5,3.359999895095825
39,Ohio,0111,2009,6,4.139999866485596
39,Ohio,0111,2009,7,4.699999809265137
39,Ohio,0111,2009,8,5.519999980926514
39,Ohio,0111,2009,9,5.480000019073486
39,Ohio,0111,2009,10,5.690000057220459
39,Ohio,0111,2009,11,5.960000038146973
39,Ohio,0111,2009,12,6.21999979019165
39,Ohio,0111,2009,13,6.400000095367432
39,Ohio,0111,2009,14,6.25
39,Ohio,0111,2009,15,5.869999885559082
39,Ohio,0111,2009,16,5.369999885559082
39,Ohio,0111,2009,17,4.869999885559082
39,Ohio,0111,2009,18,4.320000171661377
39,Ohio,0111,2009,19,3.759999990463257
39,Ohio,0111,2009,20,3.259999990463257
39,Ohio,0111,2009,21,2.9000000953674316
39,Ohio,0111,2009,22,2.609999895095825
39,Ohio,0111,2009,23,2.369999885559082
39,Ohio,0111,2010,0,2.430000066757202
39,Ohio,0111,2010,1,2.119999885559082
39,Ohio,0111,2010,2,1.809999942779541
39,Ohio,0111,2010,3,1.9600000381469727
39,Ohio,0111,2010,4,2.5299999713897705
39,Ohio,0111,2010,5,3.059999942779541
39,Ohio,0111,2010,6,3.859999895095825
39,Ohio,0111,2010,7,4.599999904632568
39,Ohio,0111,2006,16,5.289999961853027
39,Ohio,0111,2006,17,4.659999847412109
39,Ohio,0111,2006,18,3.9600000381469727
39,Ohio,0111,2006,19,3.440000057220459
39,Ohio,0111,2006,20,3.069999933242798
39,Ohio,0111,2006,21,2.7200000286102295
39,Ohio,0111,2006,22,2.440000057220459
39,Ohio,0111,2006,23,2.2300000190734863
39,Ohio,0111,2011,0,2.4600000381469727
39,Ohio,0111,2011,1,1.909999966621399
39,Ohio,0111,2011,2,1.7200000286102295
39,Ohio,0111,2011,3,1.9800000190734863
39,Ohio,0111,2011,4,2.5899999141693115
39,Ohio,0111,2011,5,3.0199999809265137
39,Ohio,0111,2011,6,3.9200000762939453
39,Ohio,0111,2011,7,4.789999961853027
39,Ohio,0111,2011,8,5.360000133514404
39,Ohio,0111,2011,9,5.599999904632568
39,Ohio,0111,2011,10,5.78000020980835
39,Ohio,0111,2011,11,6.079999923706055
39,Ohio,0111,2011,12,6.039999961853027
39,Ohio,0111,2011,13,6.269999980926514
39,Ohio,0111,2011,14,6.21999979019165
39,Ohio,0111,2011,15,6.190000057220459
39,Ohio,0111,2011,16,5.800000190734863
39,Ohio,0111,2011,17,5.190000057220459
39,Ohio,0111,2011,18,4.460000038146973
39,Ohio,0111,2011,19,3.700000047683716
39,Ohio,0111,2011,20,3.190000057220459
39,Ohio,0111,2011,21,2.9000000953674316
39,Ohio,0111,2011,22,2.509999990463257
39,Ohio,0111,2011,23,2.319999933242798
39,Ohio,0111,2004,8,5.039999961853027
39,Ohio,0111,2004,9,5.400000095367432
39,Ohio,0111,2004,10,5.699999809265137
39,Ohio,0111,2004,11,6.050000190734863
39,Ohio,0111,2004,12,6.179999828338623
39,Ohio,0111,2004,13,6.369999885559082
39,Ohio,0111,2004,14,6.320000171661377
39,Ohio,0111,2004,15,5.889999866485596
39,Ohio,0111,2004,16,5.659999847412109
39,Ohio,0111,2004,17,5.139999866485596
39,Ohio,0111,2004,18,4.670000076293945
39,Ohio,0111,2004,19,4.03000020980835
39,Ohio,0111,2004,20,3.390000104904175
39,Ohio,0111,2004,21,2.950000047683716
39,Ohio,0111,2004,22,2.759999990463257
39,Ohio,0111,2004,23,2.5
39,Ohio,0111,2006,0,2
39,Ohio,0111,2006,1,1.8200000524520874
39,Ohio,0111,2006,2,1.8799999952316284
39,Ohio,0111,2006,3,2.190000057220459
39,Ohio,0111,2006,4,2.880000114440918
39,Ohio,0111,2006,5,3.5299999713897705
39,Ohio,0111,2006,6,4.329999923706055
39,Ohio,0111,2006,7,5.179999828338623
39,Ohio,0111,2006,8,5.659999847412109
39,Ohio,0111,2006,9,5.849999904632568
39,Ohio,0111,2006,10,6.190000057220459
39,Ohio,0111,2006,11,6.21999979019165
39,Ohio,0111,2006,12,6.269999980926514
39,Ohio,0111,2006,13,6.460000038146973
39,Ohio,0111,2006,14,6.110000133514404
39,Ohio,0111,2006,15,5.619999885559082
39,Ohio,0111,2014,13,6.070000171661377
39,Ohio,0111,2014,14,6.059999942779541
39,Ohio,0111,2014,15,5.929999828338623
39,Ohio,0111,2014,16,5.380000114440918
39,Ohio,0111,2014,17,4.880000114440918
39,Ohio,0111,2014,18,4.369999885559082
39,Ohio,0111,2014,19,3.8399999141693115
39,Ohio,0111,2014,20,3.259999990463257
39,Ohio,0111,2014,21,2.9700000286102295
39,Ohio,0111,2014,22,2.8499999046325684
39,Ohio,0111,2014,23,2.6700000762939453
39,Ohio,0111,2014,0,2.75
39,Ohio,0111,2014,1,2.1700000762939453
39,Ohio,0111,2014,2,2.0399999618530273
39,Ohio,0111,2014,3,2.119999885559082
39,Ohio,0111,2014,4,2.5199999809265137
39,Ohio,0111,2014,5,2.990000009536743
39,Ohio,0111,2014,6,3.7799999713897705
39,Ohio,0111,2014,7,4.5
39,Ohio,0111,2014,8,5.440000057220459
39,Ohio,0111,2014,9,5.630000114440918
39,Ohio,0111,2014,10,5.769999980926514
39,Ohio,0111,2014,11,5.929999828338623
39,Ohio,0111,2014,12,6.079999923706055
39,Ohio,0111,2004,0,2.180000066757202
39,Ohio,0111,2004,1,1.840000033378601
39,Ohio,0111,2004,2,1.9500000476837158
39,Ohio,0111,2004,3,2.0799999237060547
39,Ohio,0111,2004,4,2.4700000286102295
39,Ohio,0111,2004,5,3.0999999046325684
39,Ohio,0111,2004,6,3.75
39,Ohio,0111,2004,7,4.579999923706055
39,Ohio,0112,2006,8,5.659999847412109
39,Ohio,0112,2006,9,5.849999904632568
39,Ohio,0112,2006,10,6.190000057220459
39,Ohio,0112,2006,11,6.21999979019165
39,Ohio,0112,2006,12,6.269999980926514
39,Ohio,0112,2006,13,6.460000038146973
39,Ohio,0112,2006,14,6.110000133514404
39,Ohio,0112,2006,15,5.619999885559082
39,Ohio,0112,2014,12,6.079999923706055
39,Ohio,0112,2014,13,6.070000171661377
39,Ohio,0112,2014,14,6.059999942779541
39,Ohio,0112,2014,15,5.929999828338623
39,Ohio,0112,2014,16,5.380000114440918
39,Ohio,0112,2014,17,4.880000114440918
39,Ohio,0112,2014,18,4.369999885559082
39,Ohio,0112,2014,19,3.8399999141693115
39,Ohio,0112,2014,20,3.259999990463257
39,Ohio,0112,2014,21,2.9700000286102295
39,Ohio,0112,2014,22,2.8499999046325684
39,Ohio,0112,2014,23,2.6700000762939453
39,Ohio,0112,2014,0,2.75
39,Ohio,0112,2014,1,2.1700000762939453
39,Ohio,0112,2014,2,2.0399999618530273
39,Ohio,0112,2014,3,2.119999885559082
39,Ohio,0112,2014,4,2.5199999809265137
39,Ohio,0112,2014,5,2.990000009536743
39,Ohio,0112,2014,6,3.7799999713897705
39,Ohio,0112,2014,7,4.5
39,Ohio,0112,2014,8,5.440000057220459
39,Ohio,0112,2014,9,5.630000114440918
39,Ohio,0112,2014,10,5.769999980926514
39,Ohio,0112,2014,11,5.929999828338623
39,Ohio,0112,2004,0,2.180000066757202
39,Ohio,0112,2004,1,1.840000033378601
39,Ohio,0112,2004,2,1.9500000476837158
39,Ohio,0112,2004,3,2.0799999237060547
39,Ohio,0112,2004,4,2.4700000286102295
39,Ohio,0112,2004,5,3.0999999046325684
39,Ohio,0112,2004,6,3.75
39,Ohio,0112,2004,7,4.579999923706055
39,Ohio,0112,2010,0,2.430000066757202
39,Ohio,0112,2010,1,2.119999885559082
39,Ohio,0112,2010,2,1.809999942779541
39,Ohio,0112,2010,3,1.9600000381469727
39,Ohio,0112,2010,4,2.5299999713897705
39,Ohio,0112,2010,5,3.059999942779541
39,Ohio,0112,2010,6,3.859999895095825
39,Ohio,0112,2010,7,4.599999904632568
39,Ohio,0112,2006,16,5.289999961853027
39,Ohio,0112,2006,17,4.659999847412109
39,Ohio,0112,2006,18,3.9600000381469727
39,Ohio,0112,2006,19,3.440000057220459
39,Ohio,0112,2006,20,3.069999933242798
39,Ohio,0112,2006,21,2.7200000286102295
39,Ohio,0112,2006,22,2.440000057220459
39,Ohio,0112,2006,23,2.2300000190734863
39,Ohio,0112,2011,0,2.4600000381469727
39,Ohio,0112,2011,1,1.909999966621399
39,Ohio,0112,2011,2,1.7200000286102295
39,Ohio,0112,2011,3,1.9800000190734863
39,Ohio,0112,2011,4,2.5899999141693115
39,Ohio,0112,2011,5,3.0199999809265137
39,Ohio,0112,2011,6,3.9200000762939453
39,Ohio,0112,2011,7,4.789999961853027
39,Ohio,0112,2011,8,5.360000133514404
39,Ohio,0112,2011,9,5.599999904632568
39,Ohio,0112,2011,10,5.78000020980835
39,Ohio,0112,2011,11,6.079999923706055
39,Ohio,0112,2011,12,6.039999961853027
39,Ohio,0112,2011,13,6.269999980926514
39,Ohio,0112,2011,14,6.21999979019165
39,Ohio,0112,2011,15,6.190000057220459
39,Ohio,0112,2011,16,5.800000190734863
39,Ohio,0112,2011,17,5.190000057220459
39,Ohio,0112,2011,18,4.460000038146973
39,Ohio,0112,2011,19,3.700000047683716
39,Ohio,0112,2011,20,3.190000057220459
39,Ohio,0112,2011,21,2.9000000953674316
39,Ohio,0112,2011,22,2.509999990463257
39,Ohio,0112,2011,23,2.319999933242798
39,Ohio,0112,2004,8,5.039999961853027
39,Ohio,0112,2004,9,5.400000095367432
39,Ohio,0112,2004,10,5.699999809265137
39,Ohio,0112,2004,11,6.050000190734863
39,Ohio,0112,2004,12,6.179999828338623
39,Ohio,0112,2004,13,6.369999885559082
39,Ohio,0112,2004,14,6.320000171661377
39,Ohio,0112,2004,15,5.889999866485596
39,Ohio,0112,2004,16,5.659999847412109
39,Ohio,0112,2004,17,5.139999866485596
39,Ohio,0112,2004,18,4.670000076293945
39,Ohio,0112,2004,19,4.03000020980835
39,Ohio,0112,2004,20,3.390000104904175
39,Ohio,0112,2004,21,2.950000047683716
39,Ohio,0112,2004,22,2.759999990463257
39,Ohio,0112,2004,23,2.5
39,Ohio,0112,2006,0,2
39,Ohio,0112,2006,1,1.8200000524520874
39,Ohio,0112,2006,2,1.8799999952316284
39,Ohio,0112,2006,3,2.190000057220459
39,Ohio,0112,2006,4,2.880000114440918
39,Ohio,0112,2006,5,3.5299999713897705
39,Ohio,0112,2006,6,4.329999923706055
39,Ohio,0112,2006,7,5.179999828338623
39,Ohio,0112,2005,16,5.550000190734863
39,Ohio,0112,2005,17,5.019999980926514
39,Ohio,0112,2005,18,4.579999923706055
39,Ohio,0112,2005,19,3.9700000286102295
39,Ohio,0112,2005,20,3.509999990463257
39,Ohio,0112,2005,21,2.9700000286102295
39,Ohio,0112,2005,22,2.6500000953674316
39,Ohio,0112,2005,23,2.3499999046325684
39,Ohio,0112,2010,8,5.369999885559082
39,Ohio,0112,2010,9,5.610000133514404
39,Ohio,0112,2010,10,5.619999885559082
39,Ohio,0112,2010,11,5.739999771118164
39,Ohio,0112,2010,12,5.909999847412109
39,Ohio,0112,2010,13,6.130000114440918
39,Ohio,0112,2010,14,6.179999828338623
39,Ohio,0112,2010,15,6.170000076293945
39,Ohio,0112,2010,16,5.730000019073486
39,Ohio,0112,2010,17,5.28000020980835
39,Ohio,0112,2010,18,4.510000228881836
39,Ohio,0112,2010,19,3.930000066757202
39,Ohio,0112,2010,20,3.430000066757202
39,Ohio,0112,2010,21,2.9700000286102295
39,Ohio,0112,2010,22,2.6500000953674316
39,Ohio,0112,2010,23,2.4000000953674316
39,Ohio,0112,2005,0,2.1700000762939453
39,Ohio,0112,2005,1,1.8300000429153442
39,Ohio,0112,2005,2,1.809999942779541
39,Ohio,0112,2005,3,1.9500000476837158
39,Ohio,0112,2005,4,2.4100000858306885
39,Ohio,0112,2005,5,3.1600000858306885
39,Ohio,0112,2005,6,3.990000009536743
39,Ohio,0112,2005,7,4.75
39,Ohio,0112,2005,8,5.510000228881836
39,Ohio,0112,2005,9,5.369999885559082
39,Ohio,0112,2005,10,5.800000190734863
39,Ohio,0112,2005,11,6.110000133514404
39,Ohio,0112,2005,12,6.119999885559082
39,Ohio,0112,2005,13,6.21999979019165
39,Ohio,0112,2005,14,6.329999923706055
39,Ohio,0112,2005,15,5.869999885559082
39,Ohio,0112,2009,0,2.4600000381469727
39,Ohio,0112,2009,1,1.9199999570846558
39,Ohio,0112,2009,2,1.7699999809265137
39,Ohio,0112,2009,3,1.9600000381469727
39,Ohio,0112,2009,4,2.8399999141693115
39,Ohio,0112,2009,5,3.359999895095825
39,Ohio,0112,2009,6,4.139999866485596
39,Ohio,0112,2009,7,4.699999809265137
39,Ohio,0112,2009,8,5.519999980926514
39,Ohio,0112,2009,9,5.480000019073486
39,Ohio,0112,2009,10,5.690000057220459
39,Ohio,0112,2009,11,5.960000038146973
39,Ohio,0112,2009,12,6.21999979019165
39,Ohio,0112,2009,13,6.400000095367432
39,Ohio,0112,2009,14,6.25
39,Ohio,0112,2009,15,5.869999885559082
39,Ohio,0112,2009,16,5.369999885559082
39,Ohio,0112,2009,17,4.869999885559082
39,Ohio,0112,2009,18,4.320000171661377
39,Ohio,0112,2009,19,3.759999990463257
39,Ohio,0112,2009,20,3.259999990463257
39,Ohio,0112,2009,21,2.9000000953674316
39,Ohio,0112,2009,22,2.609999895095825
39,Ohio,0112,2009,23,2.369999885559082
39,Ohio,0159,2010,8,5.369999885559082
39,Ohio,0159,2010,9,5.610000133514404
39,Ohio,0159,2010,10,5.619999885559082
39,Ohio,0159,2010,11,5.739999771118164
39,Ohio,0159,2010,12,5.909999847412109
39,Ohio,0159,2010,13,6.130000114440918
39,Ohio,0159,2010,14,6.179999828338623
39,Ohio,0159,2010,15,6.170000076293945
39,Ohio,0159,2010,16,5.730000019073486
39,Ohio,0159,2010,17,5.28000020980835
39,Ohio,0159,2010,18,4.510000228881836
39,Ohio,0159,2010,19,3.930000066757202
39,Ohio,0159,2010,20,3.430000066757202
39,Ohio,0159,2010,21,2.9700000286102295
39,Ohio,0159,2010,22,2.6500000953674316
39,Ohio,0159,2010,23,2.4000000953674316
39,Ohio,0159,2005,0,2.1700000762939453
39,Ohio,0159,2005,1,1.8300000429153442
39,Ohio,0159,2005,2,1.809999942779541
39,Ohio,0159,2005,3,1.9500000476837158
39,Ohio,0159,2005,4,2.4100000858306885
39,Ohio,0159,2005,5,3.1600000858306885
39,Ohio,0159,2005,6,3.990000009536743
39,Ohio,0159,2005,7,4.75
39,Ohio,0159,2005,8,5.510000228881836
39,Ohio,0159,2005,9,5.369999885559082
39,Ohio,0159,2005,10,5.800000190734863
39,Ohio,0159,2005,11,6.110000133514404
39,Ohio,0159,2005,12,6.119999885559082
39,Ohio,0159,2005,13,6.21999979019165
39,Ohio,0159,2005,14,6.329999923706055
39,Ohio,0159,2005,15,5.869999885559082
39,Ohio,0159,2005,16,5.550000190734863
39,Ohio,0159,2005,17,5.019999980926514
39,Ohio,0159,2005,18,4.579999923706055
39,Ohio,0159,2005,19,3.9700000286102295
39,Ohio,0159,2005,20,3.509999990463257
39,Ohio,0159,2005,21,2.9700000286102295
39,Ohio,0159,2005,22,2.6500000953674316
39,Ohio,0159,2005,23,2.3499999046325684
39,Ohio,0159,2006,16,5.289999961853027
39,Ohio,0159,2006,17,4.659999847412109
39,Ohio,0159,2006,18,3.9600000381469727
39,Ohio,0159,2006,19,3.440000057220459
39,Ohio,0159,2006,20,3.069999933242798
39,Ohio,0159,2006,21,2.7200000286102295
39,Ohio,0159,2006,22,2.440000057220459
39,Ohio,0159,2006,23,2.2300000190734863
39,Ohio,0159,2011,0,2.4600000381469727
39,Ohio,0159,2011,1,1.909999966621399
39,Ohio,0159,2011,2,1.7200000286102295
39,Ohio,0159,2011,3,1.9800000190734863
39,Ohio,0159,2011,4,2.5899999141693115
39,Ohio,0159,2011,5,3.0199999809265137
39,Ohio,0159,2011,6,3.9200000762939453
39,Ohio,0159,2011,7,4.789999961853027
39,Ohio,0159,2011,8,5.360000133514404
39,Ohio,0159,2011,9,5.599999904632568
39,Ohio,0159,2011,10,5.78000020980835
39,Ohio,0159,2011,11,6.079999923706055
39,Ohio,0159,2011,12,6.039999961853027
39,Ohio,0159,2011,13,6.269999980926514
39,Ohio,0159,2011,14,6.21999979019165
39,Ohio,0159,2011,15,6.190000057220459
39,Ohio,0159,2011,16,5.800000190734863
39,Ohio,0159,2011,17,5.190000057220459
39,Ohio,0159,2011,18,4.460000038146973
39,Ohio,0159,2011,19,3.700000047683716
39,Ohio,0159,2011,20,3.190000057220459
39,Ohio,0159,2011,21,2.9000000953674316
39,Ohio,0159,2011,22,2.509999990463257
39,Ohio,0159,2011,23,2.319999933242798
39,Ohio,0159,2009,0,2.4600000381469727
39,Ohio,0159,2009,1,1.9199999570846558
39,Ohio,0159,2009,2,1.7699999809265137
39,Ohio,0159,2009,3,1.9600000381469727
39,Ohio,0159,2009,4,2.8399999141693115
39,Ohio,0159,2009,5,3.359999895095825
39,Ohio,0159,2009,6,4.139999866485596
39,Ohio,0159,2009,7,4.699999809265137
39,Ohio,0159,2009,8,5.519999980926514
39,Ohio,0159,2009,9,5.480000019073486
39,Ohio,0159,2009,10,5.690000057220459
39,Ohio,0159,2009,11,5.960000038146973
39,Ohio,0159,2009,12,6.21999979019165
39,Ohio,0159,2009,13,6.400000095367432
39,Ohio,0159,2009,14,6.25
39,Ohio,0159,2009,15,5.869999885559082
39,Ohio,0159,2009,16,5.369999885559082
39,Ohio,0159,2009,17,4.869999885559082
39,Ohio,0159,2009,18,4.320000171661377
39,Ohio,0159,2009,19,3.759999990463257
39,Ohio,0159,2009,20,3.259999990463257
39,Ohio,0159,2009,21,2.9000000953674316
39,Ohio,0159,2009,22,2.609999895095825
39,Ohio,0159,2009,23,2.369999885559082
39,Ohio,0159,2010,0,2.430000066757202
