STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,LAYER_NO,MATL_PROPERTY,PROPERTY_MINIMUM,PROPERTY_MAXIMUM,PROPERTY_MEDIAN,PROPERTY_AVERAGE,PROPERTY_STANDARD_DEVIATION,PROPERTY_COEFF_VARIATION,REP_CODE_SOURCE_VARIABILITY,REP_CODE_SOURCE_VARIABILITY_EXP
4,Arizona,1002,1,1,THREE_PASSING,,,,,,,,
4,Arizona,1002,1,1,HYDRAULIC_CONDUCTIVITY,,,,,,,,
4,Arizona,1002,2,1,RESILIENT_MODULUS_K2,,,,,,,,
4,Arizona,1002,2,1,RESILIENT_MODULUS_K3,,,,,,,,
4,Arizona,1002,2,1,SPEC_GRAVITY,,,,,,,,
4,Arizona,1002,2,1,THREE_EIGHTHS_PASSING,,,,,,,,
4,Arizona,1002,2,1,THREE_FOURTHS_PASSING,,,,,,,,
4,Arizona,1002,2,1,THREE_PASSING,,,,,,,,
4,Arizona,1002,2,1,TWO_PASSING,,,,,,,,
4,Arizona,1002,2,1,AASHTO_SOIL_CLASS,,,,,,,,
4,Arizona,1002,2,1,HYDRAULIC_CONDUCTIVITY,,,,,,,,
4,Arizona,1002,2,1,LIQUID_LIMIT,,,,,,,,
4,Arizona,1002,2,1,MAX_LAB_DRY_DENSITY,,,,,,,,
4,Arizona,1002,2,1,NO_10_PASSING,,,,,,,,
4,Arizona,1002,2,1,NO_200_PASSING,,,,,,,,
4,Arizona,1002,2,1,NO_40_PASSING,,,,,,,,
4,Arizona,1002,2,1,NO_4_PASSING,,,,,,,,
4,Arizona,1002,2,1,NO_80_PASSING,,,,,,,,
4,Arizona,1002,2,1,ONE_AND_HALF_PASSING,,,,,,,,
4,Arizona,1002,2,1,ONE_HALF_PASSING,,,,,,,,
4,Arizona,1002,2,1,ONE_PASSING,,,,,,,,
4,Arizona,1002,2,1,OPTIMUM_LAB_MOISTURE,,,,,,,,
4,Arizona,1002,2,1,PLASTICITY_INDEX,,,,,,,,
4,Arizona,1002,2,1,PLASTIC_LIMIT,,,,,,,,
4,Arizona,1002,2,1,POISSONS_RATIO,,,,,,,,
4,Arizona,1002,2,1,RESILIENT_MODULUS,,,,,,,,
4,Arizona,1002,2,1,RESILIENT_MODULUS_K1,,,,,,,,
4,Arizona,1002,3,1,AASHTO_SOIL_CLASS,,,,,,,,
4,Arizona,1002,3,1,PLASTIC_LIMIT,,,,,,,,
4,Arizona,1002,3,1,MAX_LAB_DRY_DENSITY,,,,,,,,
4,Arizona,1002,3,1,NO_10_PASSING,,,,,,,,
4,Arizona,1002,3,1,NO_200_PASSING,,,,,,,,
4,Arizona,1002,3,1,NO_40_PASSING,,,,,,,,
4,Arizona,1002,3,1,NO_4_PASSING,,,,,,,,
4,Arizona,1002,3,1,NO_80_PASSING,,,,,,,,
4,Arizona,1002,3,1,ONE_AND_HALF_PASSING,,,,,,,,
4,Arizona,1002,3,1,ONE_HALF_PASSING,,,,,,,,
4,Arizona,1002,3,1,ONE_PASSING,,,,,,,,
4,Arizona,1002,3,1,OPTIMUM_LAB_MOISTURE,,,,,,,,
4,Arizona,1002,3,1,PLASTICITY_INDEX,,,,,,,,
4,Arizona,1002,3,1,POISSONS_RATIO,,,,,,,,
4,Arizona,1002,3,1,RESILIENT_MODULUS,,,,,,,,
4,Arizona,1002,3,1,RESILIENT_MODULUS_K1,,,,,,,,
4,Arizona,1002,3,1,RESILIENT_MODULUS_K2,,,,,,,,
4,Arizona,1002,3,1,RESILIENT_MODULUS_K3,,,,,,,,
4,Arizona,1002,3,1,SPEC_GRAVITY,,,,,,,,
4,Arizona,1002,3,1,THREE_EIGHTHS_PASSING,,,,,,,,
4,Arizona,1002,3,1,THREE_FOURTHS_PASSING,,,,,,,,
4,Arizona,1002,3,1,THREE_PASSING,,,,,,,,
4,Arizona,1002,3,1,TWO_PASSING,,,,,,,,
4,Arizona,1002,3,1,LIQUID_LIMIT,,,,,,,,
4,Arizona,1002,3,1,HYDRAULIC_CONDUCTIVITY,,,,,,,,
4,Arizona,1003,1,1,THREE_FOURTHS_PASSING,,,,,,,,
4,Arizona,1003,1,1,TWO_PASSING,,,,,,,,
4,Arizona,1003,1,1,SPEC_GRAVITY,,,,,,,,
4,Arizona,1003,1,1,RESILIENT_MODULUS_K3,,,,,,,,
4,Arizona,1003,1,1,RESILIENT_MODULUS_K2,,,,,,,,
4,Arizona,1003,1,1,RESILIENT_MODULUS_K1,,,,,,,,
4,Arizona,1003,1,1,RESILIENT_MODULUS,,,,,,,,
4,Arizona,1003,1,1,POISSONS_RATIO,,,,,,,,
4,Arizona,1003,1,1,PLASTIC_LIMIT,,,,,,,,
4,Arizona,1003,1,1,PLASTICITY_INDEX,,,,,,,,
4,Arizona,1003,1,1,OPTIMUM_LAB_MOISTURE,,,,,,,,
4,Arizona,1003,1,1,ONE_PASSING,,,,,,,,
4,Arizona,1003,1,1,ONE_HALF_PASSING,,,,,,,,
4,Arizona,1003,1,1,ONE_AND_HALF_PASSING,,,,,,,,
4,Arizona,1003,1,1,NO_80_PASSING,,,,,,,,
4,Arizona,1003,1,1,NO_4_PASSING,,,,,,,,
4,Arizona,1003,1,1,NO_40_PASSING,,,,,,,,
4,Arizona,1003,1,1,NO_200_PASSING,,,,,,,,
4,Arizona,1003,1,1,NO_10_PASSING,,,,,,,,
4,Arizona,1003,1,1,MAX_LAB_DRY_DENSITY,,,,,,,,
4,Arizona,1003,1,1,LIQUID_LIMIT,,,,,,,,
4,Arizona,1003,1,1,HYDRAULIC_CONDUCTIVITY,,,,,,,,
4,Arizona,1003,1,1,AASHTO_SOIL_CLASS,,,,,,,,
4,Arizona,1003,1,1,THREE_PASSING,,,,,,,,
4,Arizona,1003,1,1,THREE_EIGHTHS_PASSING,,,,,,,,
4,Arizona,1003,1,2,THREE_FOURTHS_PASSING,96,96,96,96,0,0,AS,Representative property from a single measurement.
